Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
1,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
2,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
3,reliability,Critical,Error,,,CloudTrail,How do you monitor workload resources?,CloudTrail Public Buckets,"Publicly accessible CloudTrail log buckets are a security risk. Ensure logs are not exposed to the public internet to protect against data breaches, tampering, and compliance violations. Secure CloudTrail logs for enhanced security posture.",NonProd,,us-east-1
4,reliability,Critical,Failed,,,CloudTrail,How do you monitor workload resources?,CloudTrail Public Buckets,"Publicly accessible CloudTrail log buckets are a security risk. Ensure logs are not exposed to the public internet to protect against data breaches, tampering, and compliance violations. Secure CloudTrail logs for enhanced security posture.",NonProd,,us-east-1
5,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
6,security,Critical,Failed,,,S3,How do you protect your compute resources?,Ensure Amazon S3 Buckets are Privately Configured with Block Public Access,"Take a proactive step to bolster your data security by confirming the activation of Amazon S3 Block Public Access configuration for your S3 buckets. This essential check ensures that your data remains private, reducing the likelihood of unauthorized access, fortifying overall data security, and mitigating potential business risks.",NonProd,,us-east-1
7,security,Critical,Failed,,,S3,How do you manage permissions for people and machines?,S3 Bucket Should Not Allow Get Actions from All Principals Without a Condition,"This rule checks if the get action from all principals is allowed on S3 buckets without a condition. Allowing unrestricted get actions on an S3 bucket can lead to unauthorized access and data exposure. It is essential to protect sensitive data by restricting get actions to specific authorized principals and using conditions such as IP address range, MFA, or specific user agents. This practice helps ensure that only authorized users can access the data and enhances the overall security of the S3 bucket.",NonProd,,us-east-1
8,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
9,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
10,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
11,security,Critical,Failed,,,SecretsManager,How do you manage identities for people and machines?,Secrets Manager Secrets Should Have Automatic Rotation Enabled,"Secrets stored in AWS Secrets Manager should be configured with automatic rotation to enhance security and reduce the risk of unauthorized access. Automatic rotation generates new values for secrets at defined intervals, ensuring that secrets are frequently refreshed and minimizing the likelihood of compromise. This check inspects whether a secret stored in AWS Secrets Manager is configured with automatic rotation.",NonProd,,us-east-1
12,security,Critical,Failed,,,SecurityHubHighCriticalFindings,How do you detect and investigate security events?,Address Security Hub High Critical Findings,"Security Hub should not have active high or critical severity findings from AWS services. Regularly review and remediate these findings to ensure that your AWS environment remains secure, compliant, and protected against potential threats. Addressing high and critical severity findings helps maintain the overall security posture of your AWS infrastructure.",NonProd,,us-east-1
